service_id,date,exception_type
1_907_1335_10_252_3,20260403,1
1_907_1335_10_252_3,20260501,1
1_907_1335_10_252_3,20260815,1
1_907_1335_10_252_3,20261212,1
1_907_1335_10_252_3,20261102,1
1_907_1335_10_252_3,20261207,1
1_907_1335_10_252_3,20261208,1
1_907_1335_10_252_3,20261225,1
1_907_1335_10_252_3,20260422,1
1_907_1335_10_252_3,20260604,1
1_907_1335_10_253_3,20260101,1
1_907_1335_10_253_3,20260106,1
1_907_1335_10_253_3,20260228,1
1_907_1335_10_253_3,20260402,1
1_907_1335_10_253_3,20260403,1
1_907_1335_10_253_3,20260501,1
1_907_1335_10_253_3,20260815,1
1_907_1335_10_253_3,20261212,1
1_907_1335_10_253_3,20261102,1
1_907_1335_10_253_3,20261207,1
1_907_1335_10_253_3,20261208,1
1_907_1335_10_253_3,20261225,1
1_907_1335_10_253_3,20260422,1
1_907_1335_10_253_3,20260604,1
1_907_1335_10_255_3,20260101,1
1_907_1335_10_255_3,20260106,1
1_907_1335_10_255_3,20260228,1
1_907_1335_10_255_3,20260402,1
1_907_1335_10_255_3,20260403,1
1_907_1335_10_255_3,20260501,1
1_907_1335_10_255_3,20260815,1
1_907_1335_10_255_3,20261212,1
1_907_1335_10_255_3,20261102,1
1_907_1335_10_255_3,20261207,1
1_907_1335_10_255_3,20261208,1
1_907_1335_10_255_3,20261225,1
1_907_1335_10_255_3,20260422,1
1_907_1335_10_255_3,20260604,1
1_990_1482_10_542_13,20260101,1
1_990_1482_10_542_13,20260106,1
1_990_1482_10_542_13,20260228,1
1_990_1482_10_542_13,20260402,1
1_990_1482_10_542_13,20260403,1
1_990_1482_10_542_13,20260501,1
1_990_1482_10_542_13,20260815,1
1_990_1482_10_542_13,20261212,1
1_990_1482_10_542_13,20261102,1
1_990_1482_10_542_13,20261207,1
1_990_1482_10_542_13,20261208,1
1_990_1482_10_542_13,20261225,1
1_990_1482_10_542_13,20260422,1
1_990_1482_10_542_13,20260604,1
1_993_1438_9_223_3,20260101,1
1_993_1438_9_223_3,20260106,1
1_993_1438_9_223_3,20260228,1
1_993_1438_9_223_3,20260402,1
1_993_1438_9_223_3,20260403,1
1_993_1438_9_223_3,20260501,1
1_993_1438_9_223_3,20260815,1
1_993_1438_9_223_3,20261212,1
1_993_1438_9_223_3,20261102,1
1_993_1438_9_223_3,20261207,1
1_993_1438_9_223_3,20261208,1
1_993_1438_9_223_3,20261225,1
1_993_1438_9_223_3,20260422,1
1_993_1438_9_223_3,20260604,1
1_1008_1479_10_295_13,20260101,1
1_1008_1479_10_295_13,20260106,1
1_1008_1479_10_295_13,20260228,1
1_1008_1479_10_295_13,20260402,1
1_1008_1479_10_295_13,20260403,1
1_1008_1479_10_295_13,20260501,1
1_1008_1479_10_295_13,20260815,1
1_1008_1479_10_295_13,20261212,1
1_1008_1479_10_295_13,20261102,1
1_1008_1479_10_295_13,20261207,1
1_1008_1479_10_295_13,20261208,1
1_1008_1479_10_295_13,20261225,1
1_1008_1479_10_295_13,20260422,1
1_1008_1479_10_295_13,20260604,1
1_1012_1480_10_496_13,20260101,1
1_1012_1480_10_496_13,20260106,1
1_1012_1480_10_496_13,20260228,1
